"sample","pond","treatment","day","sample_vol_L","biomass_mg_L","C_ug","N_ug","t15N_ug","N_atom_perc","preN_atom_perc","add15N_perc"
"phytoplankton",12,"C",3.68,0.0417700882387253,8.53,170.1709,15.5895,0.0568316715782178,0.36455095787689,0.366215418476223,-0.00166446059933212
"phytoplankton",12,"C",4.78,0.0313259250560026,12.29,115.5202,12.7422,0.0466055849855943,0.365757757574001,0.366215418476223,-0.000457660902221602
"phytoplankton",12,"C",16.72,0.0625953025535963,6.32,156.1083,17.1098,0.062633217346438,0.366066332431928,0.366215418476223,-0.000149086044294422
"phytoplankton",12,"C",29.77,0.0626493010383861,6.23,128.7243,12.6373,0.0462862026258164,0.366266549229791,0.366215418476223,5.11307535687733e-05
"phytoplankton",12,"C",54.85,0.0313297836391014,11.58,92.4312,9.058,0.0332824198520941,0.367436739369552,0.366215418476223,0.00122132089332988
"phytoplankton",13,"C",3.68,0.0574325117057209,6.97,120.3439,8.5421,0.0312843795944998,0.366237571492956,0.367818694808967,-0.00158112331601179
"phytoplankton",13,"C",4.78,0.0469598603711886,9.11,108.4274,7.967,0.0291300577630738,0.365633962132218,0.367818694808967,-0.00218473267674951
"phytoplankton",13,"C",16.73,0.0626670429253905,7.46,128.2556,10.2952,0.0379728521918313,0.368840354649073,0.367818694808967,0.00102165984010527
"phytoplankton",13,"C",29.77,0.125345357341549,3.46,157.8994,12.5134,0.0459735132239066,0.367394259145449,0.367818694808967,-0.000424435663518685
"phytoplankton",13,"C",54.86,0.0626892827955106,5.91,116.7286,8.8259,0.0324550483393676,0.367725085706473,0.367818694808967,-9.36091024943964e-05
"phytoplankton",14,"C",3.68,0.00522053125241643,77.29,140.5911,9.6173,0.035238023756733,0.366402459700051,0.36672697911915,-0.000324519419099223
"phytoplankton",14,"C",4.78,0.00522015540640965,83.56,144.3815,10.0408,0.0367834316196735,0.366339650423009,0.36672697911915,-0.000387328696140832
"phytoplankton",14,"C",16.75,0.0104393300294839,42.35,181.776,12.7994,0.0468330398285009,0.365900275235565,0.36672697911915,-0.000826703883585522
"phytoplankton",14,"C",29.77,0.02088194842206,21.77,181.5048,15.906,0.0581965218505506,0.365877793603361,0.36672697911915,-0.000849185515789386
"phytoplankton",14,"C",54.88,0.0208815407064599,26.09,169.7718,18.7934,0.0689040413653435,0.36663957221867,0.36672697911915,-8.74069004800915e-05
"zooplankton",12,"C",3.26,3.96274897729154,0.1299,286.44,60.33,0.221453550898709,0.367070364493136,0.367016945902476,5.34185906600482e-05
"zooplankton",12,"C",4.26,3.99202806173971,0.2187,473.34,98.83,0.363248133636709,0.367548450507649,0.367016945902476,0.000531504605172983
"zooplankton",12,"C",23.26,3.99937363493237,0.1259,211.54,43.86,0.161106951007414,0.367320909729627,0.367016945902476,0.000303963827151199
"zooplankton",13,"C",3.26,3.96754884210625,0.0934,146.15,28.38,0.104129920950365,0.366913040698959,0.367845597102912,-0.000932556403952955
"zooplankton",13,"C",4.26,3.99532913212573,0.0452,74.13,16.56,0.0608297619515005,0.367329480383457,0.367845597102912,-0.00051611671945484
"zooplankton",13,"C",23.26,3.99125102819113,0.0258,55.4,12.81,0.0471516786675822,0.368084923244201,0.367845597102912,0.000239326141289242
"zooplankton",13,"C",29.26,3.99608929513876,0.1195,214.24,51.53,0.189464073403927,0.367677223760775,0.367845597102912,-0.000168373342136818
"zooplankton",13,"C",54.26,3.99357507481077,0.0299,48.27,10.89,0.0400451028620355,0.367723625914008,0.367845597102912,-0.000121971188903947
"zooplankton",14,"C",3.26,3.99387764863443,0.0207,22.56,5.01,0.0183787062259098,0.366840443630933,0.366946280350107,-0.000105836719173302
"zooplankton",14,"C",4.26,4.00401723181013,0.0314,64.65,15.15,0.0556675561827718,0.367442615067801,0.366946280350107,0.000496334717694391
