"sample","pond","treatment","day","date","sample_vol_L","biomass_mg_L","C_ug","N_ug","t15N_ug","N_atom_perc","preN_atom_perc","add15N_perc","dorset_pond"
"phytoplankton",1,"A",0.00999999999999979,"15/07/13",0.0156639317867277,18.22,77.0655,7.706,0.0283587240385637,0.368008357624756,0.365959727425083,0.00204863019967255,2
"phytoplankton",1,"A",0.819999999999999,"16/07/13",0.0208764794281912,20.42,108.7123,11.169,0.0643361376456299,0.576024152973676,0.365959727425083,0.210064425548593,2
"phytoplankton",1,"A",1.17,"16/07/13",0.0260997207818109,25,147.2741,13.0864,0.110503030993346,0.844411228400065,0.365959727425083,0.478451500974981,2
"phytoplankton",1,"A",1.68,"17/07/13",0.0208813099798414,22.58,133.2492,11.4136,0.129187427647777,1.13187274521428,0.365959727425083,0.765913017789193,2
"phytoplankton",1,"A",2.05,"17/07/13",0.0208826747631439,25.83,140.0963,11.192,0.115447000361115,1.03151358435592,0.365959727425083,0.665553856930838,2
"phytoplankton",1,"A",2.79,"18/07/13",0.0208798460434549,26.25,209.7325,17.3867,0.172162147808125,0.990194503891624,0.365959727425083,0.624234776466541,2
"phytoplankton",1,"A",3.93,"19/07/13",0.0208848247662355,21.58,139.431,12.6866,0.105895555825179,0.834703985505802,0.365959727425083,0.468744258080719,2
"phytoplankton",1,"A",4.95,"20/07/13",0.0208748940890243,18.17,132.2158,8.9973,0.0694119747200274,0.771475606237732,0.365959727425083,0.405515878812648,2
"phytoplankton",1,"A",6.91,"22/07/13",0.0208831117703624,22.08,133.7349,13.2317,0.0933230455052129,0.705298982785378,0.365959727425083,0.339339255360295,2
"phytoplankton",1,"A",11.72,"27/07/13",0.0130506739044678,25.93,126.3481,10.7626,0.0643333358503035,0.597749018362696,0.365959727425083,0.231789290937612,2
"phytoplankton",1,"A",15.83,"31/07/13",0.0104397992650255,27.5,85.5155,7.2655,0.0389392853330648,0.535947771427497,0.365959727425083,0.169988044002413,2
"phytoplankton",1,"A",23.66,"08/08/13",0.0208820687974353,35.83,235.3011,21.6276,0.105906724398196,0.489683202936046,0.365959727425083,0.123723475510962,2
"phytoplankton",1,"A",28.75,"13/08/13",0.0104402465952291,36.58,125.8062,11.4197,0.0502700851628613,0.440204954270789,0.365959727425083,0.0742452268457058,2
"phytoplankton",1,"A",53.01,"06/09/13",0.00261002602481952,115.67,107.05,7.255,0.0295929117847596,0.407896785454992,0.365959727425083,0.0419370580299083,2
"zooplankton",1,"A",0.26,"16/07/13",2.86826426585463,0.1625,270.72,54.16,0.199331075882338,0.36804112976798,0.367833110230174,0.000208019537805637,2
"zooplankton",1,"A",0.76,"16/07/13",4.01460087323962,0.1365,303.8,62.8,0.233410146683625,0.371672208094944,0.367833110230174,0.0038390978647701,2
"zooplankton",1,"A",1.26,"17/07/13",2.70716909223751,0.1424,215.8,43.87,0.167051281296922,0.380787055611857,0.367833110230174,0.0129539453816827,2
"zooplankton",1,"A",1.76,"17/07/13",2.73016554085669,0.1455,209.99,46.327,0.183679153292705,0.396484022908251,0.367833110230174,0.0286509126780768,2
"zooplankton",1,"A",2.26,"18/07/13",2.67544002519083,0.1215,171.29,36.96,0.148253870324567,0.401119779016685,0.367833110230174,0.0332866687865112,2
"zooplankton",1,"A",3.26,"19/07/13",3.99235760569878,0.2533,564.93,124.79,0.562817554066633,0.451011742981516,0.367833110230174,0.0831786327513415,2
"zooplankton",1,"A",4.26,"20/07/13",3.99750937894048,0.1335,303.82,63.88,0.302428176170235,0.473431709721721,0.367833110230174,0.105598599491547,2
"zooplankton",1,"A",6.26,"22/07/13",4.01408262400285,0.2375,527.16,112.59,0.54011332321299,0.479716958178338,0.367833110230174,0.111883847948164,2
