"pond","NO2_uM","NO3_NO2_uM","NH3_uM","sample_date","treatment","NO3_uM"
"P1",0.0014,1.7975,2.759,2013-07-10,"H",1.7961
"P2",0.0325,0.509,1.2311,2013-07-10,"A",0.4765
"P3",0,0.7506,1.6081,2013-07-10,"A",0.7506
"P4",0,0.7287,1.5253,2013-07-10,"H",0.7287
"P5",0.0094,0.6906,1.4321,2013-07-10,"A",0.6812
"P6",0,0.04,1.7624,2013-07-10,"H",0.04
"P7",0,0.6101,1.5509,2013-07-10,"H",0.6101
"P8",0.1149,0.3684,3.0766,2013-07-10,"A",0.2535
"P9",0.0754,0.465,1.9224,2013-07-10,"H",0.3896
"P10",0,0.6483,1.2054,2013-07-10,"A",0.6483
"P12",0.1081,0.3569,1.9856,2013-07-10,"C",0.2488
"P13",0.0395,0.7225,2.113,2013-07-10,"C",0.683
"P14",0,0.5662,1.4686,2013-07-10,"C",0.5662
"P15",0.0461,0.4315,1.7375,2013-07-10,"H",0.3854
"P16",0.0013,0.3344,1.5335,2013-07-10,"A",0.3331
"P17",0,0.0954,1.4897,2013-07-10,"H",0.0954
"P18",0.0324,11.6323,2.2381,2013-07-10,"A",11.5999
"P19",0.015,0.9775,2.0097,2013-07-10,"H",0.9625
"P20",0,0,1.472,2013-07-10,"A",0
"P1",0.0026,3.7522,2.3924,2013-07-15,"H",3.7496
"P2",0.0241,1.0703,1.9583,2013-07-15,"A",1.0462
"P3",0,0.3527,1.5332,2013-07-15,"A",0.3527
"P4",0,0.2342,1.5341,2013-07-15,"H",0.2342
"P5",0.208,0.6628,3.1664,2013-07-15,"A",0.4548
"P6",0,0.2998,3.3692,2013-07-15,"H",0.2998
"P7",0,0.3468,1.8639,2013-07-15,"H",0.3468
"P8",0.0795,0.1839,3.5132,2013-07-15,"A",0.1044
"P9",0.0289,0.2957,1.5169,2013-07-15,"H",0.2668
"P10",0,0.0564,1.1657,2013-07-15,"A",0.0564
"P15",0.0237,0.639,1.5143,2013-07-15,"H",0.6153
"P16",0.0108,0.1531,1.425,2013-07-15,"A",0.1423
"P17",0,0.0031,1.2615,2013-07-15,"H",0.0031
"P18",0,1.334,1.4928,2013-07-15,"A",1.334
"P19",0.011,0.483,2.0966,2013-07-15,"H",0.472
"P20",0.0146,0.2966,1.6917,2013-07-15,"A",0.282
"P1",0,2.211,2.2618,2013-07-16,"H",2.211
"P2",0.0276,0.2958,1.5384,2013-07-16,"A",0.2682
"P3",0,0.5307,1.1863,2013-07-16,"A",0.5307
"P4",0,0.4118,1.5279,2013-07-16,"H",0.4118
"P5",0,0.0841,1.4519,2013-07-16,"A",0.0841
"P6",0,0.3266,3.9459,2013-07-16,"H",0.3266
"P7",0,0.302,1.3942,2013-07-16,"H",0.302
"P8",0.0566,0.6993,3.3652,2013-07-16,"A",0.6427
"P9",0,0,0.4929,2013-07-16,"H",0
"P10",0,0.2215,2.4692,2013-07-16,"A",0.2215
"P15",0.0052,0.3374,0.9482,2013-07-16,"H",0.3322
"P16",0,0.6119,0.8856,2013-07-16,"A",0.6119
"P17",0,0.3765,0.8783,2013-07-16,"H",0.3765
"P18",0,0,0.5657,2013-07-16,"A",0
"P19",0,0.3837,1.9903,2013-07-16,"H",0.3837
"P20",0,0.5258,3.1481,2013-07-16,"A",0.5258
"P1",0,1.1758,2.3532,2013-07-20,"H",1.1758
"P2",0.0045,0.4206,1.4714,2013-07-20,"A",0.4161
"P3",0,0.1303,0.9767,2013-07-20,"A",0.1303
"P4",0,0.2401,1.3056,2013-07-20,"H",0.2401
"P5",0.0268,0.2192,1.4099,2013-07-20,"A",0.1924
"P6",0,0,7.3112,2013-07-20,"H",0
"P7",0,0.0581,1.5278,2013-07-20,"H",0.0581
"P8",0.0092,0.1245,1.8613,2013-07-20,"A",0.1153
"P9",0.0112,0.0927,1.4875,2013-07-20,"H",0.0815
"P10",0,0.0773,1.4504,2013-07-20,"A",0.0773
"P15",0,0.1777,0.8072,2013-07-20,"H",0.1777
"P16",0,0.2126,0.7288,2013-07-20,"A",0.2126
"P17",0,0.0217,0.7703,2013-07-20,"H",0.0217
"P18",0,0.1857,0.7072,2013-07-20,"A",0.1857
"P19",0,0.1052,1.87,2013-07-20,"H",0.1052
"P20",0,0.1549,9.4651,2013-07-20,"A",0.1549
"P1",0,0.4242,1.634,2013-07-17,"H",0.4242
"P2",0,0.0876,1.279,2013-07-17,"A",0.0876
"P3",0,0.1139,1.0192,2013-07-17,"A",0.1139
"P4",0,0.056,1.2571,2013-07-17,"H",0.056
"P5",0.0043,0.1206,1.1257,2013-07-17,"A",0.1163
"P6",0,0.2551,8.3737,2013-07-17,"H",0.2551
"P7",0.0145,0.1135,1.3831,2013-07-17,"H",0.099
"P8",0.0699,0.2497,2.9407,2013-07-17,"A",0.1798
"P9",0,0.1209,1.3295,2013-07-17,"H",0.1209
"P10",0,0.2062,1.0069,2013-07-17,"A",0.2062
"P15",0,0.2809,1.1373,2013-07-17,"H",0.2809
"P16",0,0.0314,1.0236,2013-07-17,"A",0.0314
"P17",0,0.1691,0.9668,2013-07-17,"H",0.1691
"P18",0,0.3895,1.25,2013-07-17,"A",0.3895
"P19",0,0.1834,1.6564,2013-07-17,"H",0.1834
"P20",0.0012,0.7504,8.3392,2013-07-17,"A",0.7492
"P1",0,1.0314,1.8087,2013-08-13,"H",1.0314
"P2",0,1.3311,1.0399,2013-08-13,"A",1.3311
"P3",0,0.062,0.8673,2013-08-13,"A",0.062
"P4",0,0,1.0989,2013-08-13,"H",0
"P5",0.1154,0.2386,1.521,2013-08-13,"A",0.1232
"P6",0.0163,0.4907,3.365,2013-08-13,"H",0.4744
"P7",0,0,1.1341,2013-08-13,"H",0
"P8",0.1079,0.2928,1.7487,2013-08-13,"A",0.1849
"P9",0.0286,0.0515,1.1376,2013-08-13,"H",0.0229
"P10",0.0037,0.3678,1.261,2013-08-13,"A",0.3641
"P15",0,0.7612,1.596,2013-08-13,"H",0.7612
"P16",0,0.5214,1.3604,2013-08-13,"A",0.5214
"P17",0,0.0229,1.1245,2013-08-13,"H",0.0229
"P18",0,0.0383,0.8956,2013-08-13,"A",0.0383
"P19",0.0494,0.2363,10.6371,2013-08-13,"H",0.1869
"P20",0.0193,0.1716,7.4648,2013-08-13,"A",0.1523
"P1",0.016,1.0672,5.3754,2013-07-18,"H",1.0512
"P2",0.055,0.438,4.4619,2013-07-18,"A",0.383
"P3",0.0414,0.3989,3.9836,2013-07-18,"A",0.3575
"P4",0,0,3.2479,2013-07-18,"H",0
"P5",0.0518,0.0911,2.9054,2013-07-18,"A",0.0393
"P6",0.022,0.995,9.3585,2013-07-18,"H",0.973
"P7",0.0288,0.6014,1.9284,2013-07-18,"H",0.5726
"P8",0.1265,1.1105,3.335,2013-07-18,"A",0.984
"P9",0.0467,0.2501,1.2786,2013-07-18,"H",0.2034
"P10",0.0233,0.5889,1.1218,2013-07-18,"A",0.5656
"P15",0.0304,0.2021,0.9062,2013-07-18,"H",0.1717
"P16",0.0467,0.7686,0.8763,2013-07-18,"A",0.7219
"P17",0.0032,0.6031,0.917,2013-07-18,"H",0.5999
"P18",0.0415,0.2292,0.9154,2013-07-18,"A",0.1877
"P19",0.0744,0.9056,1.6174,2013-07-18,"H",0.8312
"P20",0.0542,1.8152,13.1066,2013-07-18,"A",1.761
"P1",0,0.46,0.9976,2013-07-17,"H",0.46
"P2",0.0344,0.3032,0.9346,2013-07-17,"A",0.2688
"P3",0,0.1014,0.6763,2013-07-17,"A",0.1014
"P4",0,0.0273,0.7884,2013-07-17,"H",0.0273
"P6",0,0.0613,5.667,2013-07-17,"H",0.0613
"P7",0,0.0745,0.9768,2013-07-17,"H",0.0745
"P8",0.053,0.0993,2.4677,2013-07-17,"A",0.0463
"P9",0.0131,2.1131,0.9241,2013-07-17,"H",2.1
"P10",0,0.7287,0.7618,2013-07-17,"A",0.7287
"P15",0.0224,0.1768,0.7156,2013-07-17,"H",0.1544
"P16",0,0.1394,0.6654,2013-07-17,"A",0.1394
"P17",0,0,0.7346,2013-07-17,"H",0
"P18",0,0.034,0.7288,2013-07-17,"A",0.034
"P19",0.0072,0.1053,1.7901,2013-07-17,"H",0.0981
"P20",0.0151,1.332,8.9346,2013-07-17,"A",1.3169
"P1",0,1.2658,0.7053,2013-07-27,"H",1.2658
"P2",0,0,0.2038,2013-07-27,"A",0
"P3",0,1.5368,0.5269,2013-07-27,"A",1.5368
"P4",0,1.0444,0.7502,2013-07-27,"H",1.0444
"P5",0.1131,1.4126,0.554,2013-07-27,"A",1.2995
"P6",0,2.1474,0.9268,2013-07-27,"H",2.1474
"P7",0,2.1067,0.6846,2013-07-27,"H",2.1067
"P8",0.039,1.3475,0.8033,2013-07-27,"A",1.3085
"P9",0.0451,2.0589,0.7094,2013-07-27,"H",2.0138
"P10",0,0.9472,0.8011,2013-07-27,"A",0.9472
"P15",0.016,5.7791,0.7113,2013-07-27,"H",5.7631
"P16",0,2.2801,0.6991,2013-07-27,"A",2.2801
"P17",0,1.9149,1.7966,2013-07-27,"H",1.9149
"P18",0,1.0229,0.5722,2013-07-27,"A",1.0229
"P19",0,2.1421,2.8857,2013-07-27,"H",2.1421
"P20",0,3.502,15.9754,2013-07-27,"A",3.502
"P1",0,0,0.2945,2013-07-22,"H",0
"P2",0,0.0769,0.8847,2013-07-22,"A",0.0769
"P3",0,0.0745,0.7839,2013-07-22,"A",0.0745
"P4",0,0.0104,0.7584,2013-07-22,"H",0.0104
"P5",0.0569,0.1485,0.7963,2013-07-22,"A",0.0916
"P6",0.0545,0.7338,13.9974,2013-07-22,"H",0.6793
"P7",0,0.1694,0.9973,2013-07-22,"H",0.1694
"P8",0.0383,0.051,1.1885,2013-07-22,"A",0.0127
"P9",0.0027,0.0073,0.8216,2013-07-22,"H",0.0046
"P10",0,0.8786,0.9279,2013-07-22,"A",0.8786
"P15",0.0073,0.5977,1.0066,2013-07-22,"H",0.5904
"P16",0,0.0075,0.7543,2013-07-22,"A",0.0075
"P17",0,0.5023,1.2147,2013-07-22,"H",0.5023
"P18",0,0.1058,1.0574,2013-07-22,"A",0.1058
"P19",0.0075,0.3344,1.9014,2013-07-22,"H",0.3269
"P20",0.0227,1.6899,18.079,2013-07-22,"A",1.6672
"P1",0.1352,7.3769,2.9964,2013-07-31,"H",7.2417
"P2",0.1216,1.1771,1.9142,2013-07-31,"A",1.0555
"P3",0.0625,0.5029,1.0999,2013-07-31,"A",0.4404
"P4",0.0785,0.7937,2.1556,2013-07-31,"H",0.7152
"P5",0.108,0.3493,0.9864,2013-07-31,"A",0.2413
"P6",0.0347,0.4245,1.9261,2013-07-31,"H",0.3898
"P7",0.1031,0.5309,1.5792,2013-07-31,"H",0.4278
"P8",0.115,0.4803,1.9338,2013-07-31,"A",0.3653
"P9",0.1082,1.8911,1.0531,2013-07-31,"H",1.7829
"P10",0.0221,0.3906,1.212,2013-07-31,"A",0.3685
"P15",0.0556,0.3577,1.9726,2013-07-31,"H",0.3021
"P16",0.0405,0.389,2.4245,2013-07-31,"A",0.3485
"P17",0.0518,0.3251,2.2964,2013-07-31,"H",0.2733
"P18",0.0734,0.4935,1.7614,2013-07-31,"A",0.4201
"P19",0.0943,0.4753,3.558,2013-07-31,"H",0.381
"P20",0.1165,0.8288,9.731,2013-07-31,"A",0.7123
"P1",0.0819,2.8683,2.4982,2013-08-08,"H",2.7864
"P2",0.091,0.4222,1.8025,2013-08-08,"A",0.3312
"P3",0.0452,0.273,1.5036,2013-08-08,"A",0.2278
"P4",0.0922,1.2585,2.1528,2013-08-08,"H",1.1663
"P5",0.1782,0.3503,1.6917,2013-08-08,"A",0.1721
"P6",0.0927,0.3428,2.4895,2013-08-08,"H",0.2501
"P7",0.085,0.3855,1.7769,2013-08-08,"H",0.3005
"P8",0.1748,0.0609,2.2441,2013-08-08,"A",-0.1139
"P9",0.1223,0.2947,1.928,2013-08-08,"H",0.1724
"P10",0.0917,0.4487,2.0657,2013-08-08,"A",0.357
"P15",0.1203,1.2565,1.9808,2013-08-08,"H",1.1362
"P16",0.0865,1.2473,1.5045,2013-08-08,"A",1.1608
"P17",0.0847,1.5425,6.7944,2013-08-08,"H",1.4578
"P18",0.0877,0.217,1.4081,2013-08-08,"A",0.1293
"P19",0.1195,0.3354,12.2243,2013-08-08,"H",0.2159
"P20",0.1338,0.9032,6.9058,2013-08-08,"A",0.7694
"P1",0.0273,0.923,2.3553,2013-07-13,"H",0.8957
