"pond","treatment","av_C_ug","log_av_C_ug"
1,"W",0.00236163249532661,-2.62678768405931
2,"A",0.000459500950897991,-3.33771358554158
3,"A",0.000266301413557411,-3.57462652827171
4,"W",0.000348118953829433,-3.45827233029388
5,"A",0.000159100880862853,-3.79832741587311
6,"W",0.00143121873226238,-2.8442939882142
7,"A",0.000115171613093978,-3.93865455039045
8,"W",0.000474439536615922,-3.32381912694002
9,"W",0.00329852724393856,-2.48167992454599
10,"A",0.000470743238417219,-3.32721590931274
15,"W",0.000994442396279521,-3.00242036860037
16,"A",3.13452032929821e-05,-4.50382890914823
17,"W",0.000248243651814874,-3.60512184864133
18,"A",0.00153647054265512,-2.8134757616588
19,"W",0.00130044009449522,-2.88590964902704
20,"A",0.00105511124132606,-2.97670174989499
