pond,treatment,Achnanthes sp.,Anabaena cf. constricta (filament),Anabaena sp. (filament),Ankistrodesmus bernardii,Ankistrodesmus fusiformis,Aphanocapsa sp. (colony),Aphanothece microscopica,Aphanothece sp.,Apiocystis brauniana (colony),Botryococcus braunii (colony),Chlamydocapsa cf.,Chlamydocapsa sp.,Chlamydomonas sp.,Chlorella spp.,Chlorolobion sp.,Chromulina cf. longiciliata,Chromulina sp.,Chroococcus sp.,Closterium leiblenii,Closterium venus,Cocconeis placentula,Coenocystis sp.,Cosmarium botrytis,Cosmarium cf. polygonatum,Cosmarium humile,Cosmarium regnellii,Cosmarium reniforme,Cosmarium sphagnicolum,Cosmarium spp.,Cosmarium subgranatum,Cryptomonas reflexa,Cryptomonas spp.,Cyst,cyst cf. Goniochloris sculpta,Desmodesmus sensu stricto (colony),Dictyosphaerium chlorelloides (colony),Dictyosphaerium sp. (colony),Elakatothrix sp. (colony),Epithemia adnata,Euglena metabolica,Euglena spp.,Flagellate,Fragilaria sp.,Geitlerinema,Geitlerinema splendidum (filament),Geminella sp. (filament),Gloeocapsopsis sp. (colony),Gloeocystis sp.,Gomphonema spp.,Goniochloris sculpta,Gymnodinium sp.,isolated cell undetermined,Merismopedia cf. insignis (colony),Merismopedia sp. (colony),Microcystis cf. natans,Monoraphidium circinale,Monoraphidium contortum,Monoraphidium minutum,Navicula spp.,Nephrocytium aghardianum,Nitzschia spp.,Nostocales (filament),Oedogonium sp. (filament),Oocystis spp.,Oscillatoria limosa (filament),Oscillatoriales (filament),Paulschulzia sp. (colony),Pediastrum tetras (colony),Pennate diatom,Peridinium willei,Petalomonas sp.,Phormidium sp.,Plagioselmis nannoplanctica,Pleurotaenium trabecula,Pseudanabaena catenata (filament),Pseudanabaena limnetica (filament),Pseudanabaena mucicola (filament),Pseudanabaena sp. (filament),Rhodomonas sp.,Scenedesmus cf. pseudodenticulatus,Scenedesmus gr. abundantes spinosi (colony),Scenedesmus gr. armati,Scenedesmus gr. sensu stricto,Snowella sp. (colony),Sphaerocystis cf.,Sphaerocystis sp.,Spirogyra sp. (filament),Staurastrum striolatum,Synechococcus sp.,Tetraedron caudatum,Tetraedron minimum,Tetraedron triangulare,Trachelomonas abrupta,Trachelomonas hispida,Trachelomonas sp.,Trachelomonas spp.,Trachelomonas volvocina,Undetermined,Willea villhemii
1,H,2.045552233,0,0.19105149,0,0.617009495,1.35558745,0,0.625435712,0,3.065580751,0,0,1.419012325,0,1.11914247,0.196060795,0.330650196,0.330650196,1.557586478,0,0,0,1.405617302,1.12089199,0.330650196,0,0.326981439,0,0.19105149,0.645765629,2.73314432,2.463633973,0,0.712655186,0.995682979,0,0,0,1.569810604,0,0.19105149,2.038070911,0.960935763,1.550928465,0,0.309633636,0,0,0,0.944759408,1.7279616,0.826452312,0,0,1.81483065,0.330650196,0,0,0.98723547,2.350618159,0,0.939834756,1.183266067,2.033557906,0,0,0,0.767408898,0,2.904381788,0.424508117,0,1.664312497,0.427441443,0,0,0.995682979,0,0,0.790880866,0.482150841,0.614902368,1.60014626,1.355684039,0,1.540684055,0.58578923,2.006644441,1.735651075,0,0.704998556,1.994518994,0,0.323281426,0.309633636,0,0.534876678,1.658063381,0
2,A,1.708009308,0,0,0,0.995682979,0,0,0,0,1.705044218,0,0,0,0,0,0,4.112644134,0,0,0,0,0,0.713204729,0,0,0,0.995682979,0,0,0,3.643229422,3.239268023,0,0,0,0,0.995682979,0,0,0,0,0,0,1.095304775,0.995682979,0,0,0,0.970030449,0,1.864580876,0,0,0,0.995682979,0.995682979,0,0,0,1.931031196,0,0,0,0,0,0.713204729,0,0,0,2.767327922,0,1.480812394,4.529247464,0.827817645,0,0,0,0,0,1.503380246,0,0,0,0,0,0,0,1.658063381,0,0,0,1.14944775,0,0,0,0,3.146712564,0,0
3,A,0,0,0.071153322,0,0,0,0,0,0,2.148988289,0,0,2.147203313,0,0,3.039546193,4.829016136,0,0,0,0,0.842643613,0.120573931,0,0,0.512417519,0.842643613,0,0,0,2.576959688,2.850987631,0.842643613,0,0.071153322,0,0,0,2.148439326,0,0,2.420433952,0,0,0,0,0.071153322,0,0,0,0.071153322,1.111299547,0,0,0,2.147203313,0,0,0,0,0,0.120573931,0,0.512417519,0,0,0,0.522965567,0,2.323250617,0,0,2.743554429,0,0,0,0,2.147203313,0,0.064457989,0.918335829,0,1.280115478,0,0,0.842643613,0,1.738819849,0,2.147450797,1.022833448,0.512417519,0,0,1.276040004,0,1.124579394,0.132273645,0
4,H,1.035776021,0,0,0,0,1.035776021,0.488555311,0,0,1.904887053,0,0,1.111890215,5.341403319,0,1.056911058,4.127414098,1.035776021,1.035776021,0,1.410738633,0,0.488555311,0.969421986,0,0,0,2.742791614,0,0,3.39270012,3.087036843,0,0,1.31633335,0,0,0,1.606753351,0,1.035776021,0,0,0,2.212114347,0,0,0,0,1.606753351,2.68256138,1.485380158,0,0,1.035776021,0,3.382013699,1.035776021,0,0,1.056911058,0,0,2.659466597,0,0,1.535047418,1.864768708,0.488555311,2.879759105,0,0,3.443143959,0,0,0,0,1.035776021,0,3.387389747,1.035776021,1.035776021,1.819612927,0,0,2.710635374,0,1.734970909,0,0,1.946262433,2.502530685,1.642737456,2.233568805,0.488555311,0,2.919794298,0,0
5,A,0.292991391,0,0,0,0,0,1.168093075,0.466369706,0,0,0,0,2.142593929,6.138212818,0,4.043380802,4.822980961,0.58994559,0,0,1.192015959,0,0,0,0,0.292991391,1.192015959,5.476523628,0,0,0,1.468581886,0,0,0,4.347998806,0,0,0,0,0,2.336318396,0.466369706,0,0,0,0.466369706,0,0,0,0,1.86619686,0,0,0,3.872615616,0,1.311885376,0,0,0,0,0,1.192015959,0,0,0,0,0,1.192015959,0,0,2.075549058,1.192015959,0,0.292991391,0.292991391,0,0,0.466369706,0,0,0,0,0,2.183898805,0,0,0,1.192015959,1.168093075,0,0,0,1.478861545,0,1.168093075,1.168093075,0
6,H,3.305213043,0,0,0,2.776798109,0.311776938,0,1.974491332,0,1.075107519,3.116321476,0,1.357476121,0,0,0.44026155,0,0,1.018204172,0.950056093,1.409115852,1.974491332,0.276486835,0,0,0,2.326833425,0,0.303426517,0,2.384224347,2.892702922,0,2.924620493,0.303426517,0,0,2.573083259,0.40313922,1.734217421,0.638808689,1.996642797,1.357476121,2.240066356,0,0.276486835,0,0,0,1.974491332,2.471493197,2.792728462,0.531478917,0,2.020090683,0,0,0,0.849198302,4.104531251,2.265675166,2.480958855,2.478348826,2.799404683,2.892337151,0,0,3.135562469,0,3.303096945,2.448531234,2.32760664,0,1.483346301,1.036179721,1.198966883,0,0.75694311,2.573083259,0.733522241,0,0.303426517,1.614077514,0,0,3.488516044,1.077020301,2.920303161,1.93375386,0,1.075107519,3.958391619,0.907275261,0.273682628,2.448531234,0,3.371413569,0,2.66976108
7,A,1.609359848,0,0,0,0,0.44407883,0,0,0,1.207684225,0,0,2.449781409,0,0,4.076832336,4.877104312,0,0,0,0.670534234,0,0,0,0,0.390232396,0.390232396,0,0.276486835,0,1.578467569,1.019822357,0,0,0.736439903,0,0,0,0,1.187650779,0,0,0,0.736439903,0,0,0,0,0.966438653,0,1.910083826,1.84154338,1.473681352,0,0,0,0.834044824,0,0,1.500432189,0,0,0,0.276486835,0.887290904,0,0,0,0,0,0,0.276486835,3.186151252,0,0,0,0,0,0,1.192015959,1.1076554,0,0.736439903,0,0,0,0,0,0,0.918036318,0,1.500432189,0,0,0,0,0.276486835,0.59240391,0
8,H,3.155223641,3.274363184,2.105616961,0,2.544140732,2.543255055,5.145925795,2.497395364,2.320554305,3.037085866,0,0,0,0,2.786374401,0,2.033685016,2.794898796,0,1.199622151,0,0,2.033685016,3.753224794,1.199622151,1.73549912,2.260478166,0,1.192015959,0,0,4.286118391,0,3.941281659,1.192015959,0,0.767408898,3.616782207,3.389623638,2.343930179,1.117952532,2.936088748,0,3.412879812,0,0,0,4.63693194,0,3.975876348,1.254644114,2.811738068,0,1.192015959,0,2.052764711,0,0,0,2.867793772,0,0,3.266861102,4.325284621,1.192015959,0,0,4.121353645,0,0,1.117952532,0,0,1.117952532,0,0,0,2.810227574,0,3.073782729,0,1.482807534,2.344681239,0,3.117278259,4.229969614,0,2.079852271,0,0,0,4.439296069,0,0,0,0,0.767408898,0,2.342389887
9,H,1.549610336,0,0,0,0.852768281,0.064457989,2.36832179,0.600140946,0.600140946,0.436284705,0,0.997696126,0.797959644,6.422696109,0,3.89150697,0.842904152,0.842904152,0.332238421,0,0.971218043,0,0.710973925,0.214843848,0,0.151065252,1.067363233,0.842904152,0,0,0,4.045820151,0.600140946,1.124083153,3.80786633,0.600140946,0.262928559,1.07338333,1.689058316,1.177627895,0.792926262,0,0.600140946,2.217562943,0,0,0.064457989,1.842574111,0.650974376,1.441261824,0.240987675,1.449831692,0.473927588,2.904314078,0.064457989,0,0,0,1.713492113,1.430512424,0.064457989,0.120573931,1.271978171,2.375854873,0.712655186,0.255272505,0,1.485626161,1.132562429,2.66303413,0,0,0.064457989,0,0,0,0.170261715,0,0,1.406521641,0,0,1.337177845,0,0,1.893887169,0.151065252,1.837726172,0,0,1.276328131,1.739399416,0,0,0,0,0,0.151065252,1.796846776
10,A,0.315577985,0,0,0,0,1.048939788,2.561261622,1.711717597,0,2.371432943,0,0,1.647411417,3.960926066,0.132273645,2.038417929,4.395597053,0.134816186,0,0,0,0.543112167,2.153329196,0.757708123,0.132273645,0.78448304,1.197371436,1.419041383,0.682573973,0,3.551259978,0.771350037,0,0,0.935985892,0,0.390232396,0.132273645,0.134816186,1.55069172,0,2.309287001,0,0.320565231,0,0.356328837,0,0,0,0,0.980694017,1.803530707,0,0,0,1.485450348,0,0,1.439589567,0.134816186,0.549391791,0.132273645,0,1.281141122,0.571430118,0,0.237546604,0,1.419041383,0.549391791,0,0.134816186,4.344077161,0,0,0.356328837,0,0.237546604,0,1.584570748,0.866755117,0,0.918036318,0.134816186,0,0.918036318,0,0,0.134816186,0,0.134816186,1.578648039,0,0,0,0.237546604,1.243796643,0,0.785050646
