pond,treatment,otu_47,otu_6,otu_1,otu_18,otu_34,otu_35,otu_21,otu_17,otu_60,otu_38,otu_41,otu_13,otu_39,otu_5,otu_42,otu_46,otu_26,otu_45,otu_50,otu_54,otu_8,otu_30,otu_2,otu_14,otu_3,otu_37,otu_55,otu_27,otu_68,otu_44,otu_49,otu_4,otu_19,otu_36,otu_9,otu_22,otu_66,otu_67,otu_11,otu_28,otu_56,otu_57,otu_7,otu_15,otu_24,otu_51,otu_32,otu_40,otu_59,otu_61,otu_64,otu_69,otu_72,otu_75,otu_10,otu_12,otu_16,otu_20,otu_23,otu_25,otu_29,otu_31,otu_33,otu_43,otu_48,otu_52,otu_53,otu_58,otu_62,otu_63,otu_65,otu_70,otu_71,otu_73,otu_74
1,H,0.935026139,0.001493652,0,0,0.002240478,0.050037341,0,0,0,0,0,0,0,0.002240478,0,0,0.001493652,0,0,0,0,0.00373413,0,0,0,0,0.002240478,0.000746826,0,0,0,0,0,0,0,0,0,0.000746826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,A,0.001968504,0.277559055,0.588582677,0,0.005905512,0,0,0,0,0.080708661,0.023622047,0,0,0.007874016,0.001968504,0.003937008,0,0,0,0,0.005905512,0,0,0,0,0,0,0,0,0,0.001968504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,A,0,0.783840504,0.133263379,0,0.001049318,0,0,0,0,0.033578174,0.024134313,0,0,0.001049318,0,0.002098636,0,0,0,0.001049318,0.003147954,0,0,0,0,0.003147954,0.001049318,0,0,0,0.003147954,0,0,0,0.004197272,0.003147954,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002098636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,H,0.792727273,0.002424242,0,0,0.006666667,0.024848485,0,0,0.15030303,0,0,0,0,0,0.003030303,0,0.006666667,0.000606061,0,0,0.006060606,0,0,0,0,0,0,0.000606061,0.001212121,0,0,0,0,0,0,0,0,0.001212121,0,0,0,0,0,0.001818182,0,0,0,0,0,0,0,0,0.001212121,0,0,0,0,0,0,0,0,0.000606061,0,0,0,0,0,0,0,0,0,0,0,0,0
5,A,0,0.608454608,0.145530146,0,0.000693001,0,0,0,0,0.167706168,0.063063063,0,0,0,0,0,0,0,0,0.001386001,0.000693001,0,0,0,0,0,0.000693001,0,0.000693001,0,0.003465003,0,0,0,0.003465003,0.001386001,0,0.000693001,0,0,0,0,0.001386001,0,0,0,0,0,0,0,0,0,0,0,0,0.000693001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,H,0.85982562,0.004024145,0.007377599,0.062374245,0,0.026156942,0,0,0,0,0,0,0,0,0.014084507,0.001341382,0.006706908,0,0,0,0.002012072,0,0.010731053,0,0,0,0.000670691,0.002012072,0,0,0,0,0,0,0,0,0,0.000670691,0,0,0,0,0,0,0.001341382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000670691
7,A,0.002283105,0.205479452,0.593607306,0,0.054794521,0,0,0,0.015981735,0.054794521,0.04109589,0.006849315,0,0.00456621,0,0.00456621,0,0.002283105,0,0,0,0,0,0,0,0,0.002283105,0,0.002283105,0,0.002283105,0,0,0,0,0,0,0,0,0,0.002283105,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002283105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002283105,0
8,H,0.863780359,0.004751848,0.017423442,0,0,0.077085533,0,0,0,0,0.001583949,0,0.000527983,0.004223865,0.00686378,0.002111932,0.004751848,0.002111932,0.005807814,0,0.000527983,0.001583949,0.001583949,0,0,0,0,0.000527983,0.001055966,0.002639916,0,0,0,0,0,0,0,0.001055966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,H,0.814623338,0,0.002215657,0.156573117,0,0.021418021,0,0,0,0,0,0,0,0,0,0,0.000738552,0,0,0,0.002215657,0,0,0,0,0,0,0,0.000738552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000738552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000738552,0,0,0,0,0
10,A,0.004950495,0.23019802,0.032178218,0.555693069,0.053217822,0,0,0,0,0.01980198,0.014851485,0,0,0.07549505,0,0.006188119,0,0,0,0,0,0,0,0,0,0,0.001237624,0,0,0,0,0,0,0,0,0.002475248,0,0.002475248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001237624,0,0,0,0,0,0,0,0,0,0
15,H,0.757443082,0,0.001313485,0.02145359,0.028458844,0.050788091,0.024518389,0,0.082749562,0.007880911,0.002189142,0,0,0,0.000437828,0.00262697,0.003064799,0,0,0,0.001751313,0.000875657,0.001313485,0.000437828,0.005691769,0,0.001751313,0.000437828,0,0,0,0.000437828,0,0.00262697,0,0,0,0,0,0,0,0.001751313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,A,0.000587889,0.285714286,0.298059965,0.086419753,0.012345679,0,0.26984127,0,0,0,0.021164021,0,0,0.002351558,0,0.007054674,0,0,0,0,0.004115226,0,0,0,0,0,0,0,0,0,0.004703116,0,0,0,0.001763668,0.002939447,0,0,0,0,0.001175779,0,0,0,0,0,0,0,0,0,0,0.001175779,0,0,0.000587889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,H,0.59939759,0.11746988,0.055722892,0.100150602,0.027108434,0.036144578,0,0,0,0.042921687,0.003012048,0,0,0,0,0.00376506,0.001506024,0,0.000753012,0,0.001506024,0.000753012,0.001506024,0,0,0.002259036,0.000753012,0,0.002259036,0,0,0,0,0.000753012,0,0,0,0,0,0,0,0,0,0,0.000753012,0,0,0,0,0,0,0,0,0.001506024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,A,0.025125628,0.005025126,0.929648241,0,0.015075377,0,0,0,0,0,0,0,0,0,0,0.005025126,0,0,0,0,0,0,0,0,0,0,0,0,0.005025126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005025126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005025126,0.005025126,0,0
19,H,0.847994111,0.001840265,0,0.01840265,0.000368053,0.043798307,0,0,0.050791314,0,0.000736106,0,0.024659551,0,0,0.002208318,0.000736106,0.001472212,0.000368053,0,0.000736106,0.002576371,0,0,0,0,0.002208318,0.000368053,0.000368053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000368053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,A,0,0.257090576,0.390667887,0,0.002744739,0,0.117108875,0,0.092406221,0,0.118023788,0,0,0.000914913,0,0.000914913,0,0,0,0,0,0,0,0,0,0,0.003659652,0,0.001829826,0,0.007319305,0,0,0,0,0.001829826,0,0,0,0,0.000914913,0,0,0,0,0,0,0,0.001829826,0.001829826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000914913
